,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Date,Accident.Category,injury.rating,damage.rating,State
72570,20120829X00403,Accident,ANC12CA094,2012-08-28,DELTA JUNCTION AK,UNITED STATES,Non-Fatal,Substantial,Airplane,N4316Z,PIPER,PA-18-150,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilots failure to identify the appropriate touchdown point, which resulted in a nose over.",25-09-2020,2012-08-28,Minor,1,2,AK
72571,20120829X31958,Accident,CEN12CA585,2012-08-28,BROOKVILLE OH,UNITED STATES,Non-Fatal,Substantial,Airplane,N2909A,CESSNA,180,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain directional control of the airplane during the attempted takeoff in gusting crosswind conditions.,25-09-2020,2012-08-28,Minor,1,2,OH
72572,20120829X74215,Accident,WPR12CA375,2012-08-28,SAND POINT ID,UNITED STATES,Non-Fatal,Substantial,Airplane,N3082E,CESSNA,172,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,2.0,VMC,,"A deer strike during the landing flare. Contributing to the accident was the airports lack of any deer incursion prevention measures, such as an airport perimeter fence.",25-09-2020,2012-08-28,Minor,1,2,ID
72573,20120830X51133,Accident,WPR12LA377,2012-08-28,EVERETT WA,UNITED STATES,Non-Fatal,Substantial,Airplane,N4922T,PIPER,PA-28R-200,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,2.0,VMC,,A hard landing likely made by the private pilot on a solo flight that preceded the dual instructional flight during which the wing damage became obvious.,25-09-2020,2012-08-28,Minor,1,2,WA
72575,20120829X75510,Accident,ERA12LA535,2012-08-29,MILLVILLE NJ,UNITED STATES,Fatal,Substantial,Airplane,N71BM,BEECH,95-A55,No,2.0,Reciprocating,091,,Instructional,1.0,0.0,1.0,0.0,VMC,,The pilot receiving instruction failed to maintain airplane control during the simulated engine-out landing. Contributing to the accident was the flight instructor's failure to take timely remedial action.,25-09-2020,2012-08-29,Fatal,3,2,NJ
72579,20120830X73434,Accident,CEN12FA586,2012-08-29,CANTON MO,UNITED STATES,Fatal,Substantial,Airplane,N1486P,PIPER,PA-23-150,No,2.0,Reciprocating,091,,Personal,2.0,0.0,0.0,0.0,VMC,,"The pilot's improper decision to attempt to execute a forced landing to an open field with obstacles. Contributing to the accident was the left engines total loss of power due to fuel starvation as a result of the introduction of air into the fuel system through a gascolator seal breach and the pilots use of an improper substance on the left wing gascolator bowl during maintenance operations, which led to the gascolator seal breach.",25-09-2020,2012-08-29,Fatal,3,2,MO
72581,20121011X71031,Accident,CEN12CA671,2012-08-29,GOLDSBY OK,UNITED STATES,Non-Fatal,Substantial,Airplane,N7602C,PIPER,PA-28R-200,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,2.0,VMC,,"The commercial pilot did not attain the proper touchdown point during the landing, which resulted in a premature touchdown and an impact with the edge of the runway surface.",25-09-2020,2012-08-29,Minor,1,2,OK
72586,20120901X23947,Accident,WPR12CA380,2012-08-30,WICKENBURG AZ,UNITED STATES,Non-Fatal,Substantial,Airplane,N309PA,PIPER,PA-28-181,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,3.0,VMC,,"The flight instructors delayed response in correcting the student pilots improper landing flare, which resulted in a hard landing.",25-09-2020,2012-08-30,Minor,1,2,AZ
72587,20120903X33336,Accident,WPR12LA392,2012-08-30,KEMMERER WY,UNITED STATES,Non-Fatal,Substantial,Airplane,N7321E,CESSNA,210,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,The total loss of engine power due to fuel exhaustion. Contributing to the accident was the incorrect installation of the fuel bladder tanks.,25-09-2020,2012-08-30,Minor,1,2,WY
72589,20120906X03759,Accident,ERA12CA546,2012-08-30,BARDSTOWN KY,UNITED STATES,Non-Fatal,Substantial,Airplane,N21214,CESSNA,172M,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,2.0,VMC,,"The flight instructor's decision to turn the fuel selector to the off position and his delayed remedial actions to restart the engine, which resulted in fuel starvation and a subsequent forced landing.",25-09-2020,2012-08-30,Minor,1,2,KY
72592,20120831X24543,Accident,CEN12FA594,2012-08-31,RYE CO,UNITED STATES,Fatal,Substantial,Airplane,N3031M,PIPER,PA-12,No,1.0,Reciprocating,091,,Aerial Observation,2.0,0.0,0.0,0.0,VMC,,The pilots selection of a flightpath toward rising terrain that exceeded the climb capability of the airplane.,25-09-2020,2012-08-31,Fatal,3,2,CO
72594,20120901X00238,Accident,ERA12LA539,2012-08-31,CANADENSIS PA,UNITED STATES,Non-Fatal,Substantial,Airplane,N391R,CESSNA,172M,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,The pilots failure to attain a proper glidepath.,25-09-2020,2012-08-31,Minor,1,2,PA
72595,20120901X24524,Accident,WPR12CA381,2012-08-31,GERLACH NV,UNITED STATES,Non-Fatal,Substantial,Airplane,N3946Q,CESSNA,A185F,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,4.0,VMC,,The pilot's failure to maintain directional control during the takeoff roll.,25-09-2020,2012-08-31,Minor,1,2,NV
72598,20120901X25234,Accident,WPR12LA383,2012-08-31,OLYMPIA WA,UNITED STATES,Non-Fatal,Substantial,Airplane,N300ZX,CESSNA,177RG,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,1.0,VMC,,A loss of directional control during landing for reasons that could not be determined because postaccident examination of the nose gear steering mechanism did not reveal any anomalies that would have precluded normal operation.,25-09-2020,2012-08-31,Minor,1,2,WA
72599,20120901X25532,Accident,WPR12LA384,2012-08-31,ST. JOHNS AZ,UNITED STATES,Non-Fatal,Substantial,Airplane,N5458N,CESSNA,182R,No,1.0,Reciprocating,091,,Personal,0.0,1.0,0.0,0.0,VMC,,"The pilots delay in executing a go-around, which resulted in a runway overrun. Contributing to the accident were the pilots failure to establish the proper glidepath and airspeed on final approach and his improper use of flaps during the go-around. ",25-09-2020,2012-08-31,Serious,2,2,AZ
72604,20120905X22842,Accident,WPR12LA396,2012-08-31,OCEANO CA,UNITED STATES,Non-Fatal,Substantial,Airplane,N4454D,BEECH,G35,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,3.0,VMC,,"The pilots exceedance of the design maneuvering speed during descent in turbulence, which resulted in structural damage to the aft fuselage. ",25-09-2020,2012-08-31,Minor,1,2,CA
72606,20120906X93849,Accident,ANC12CA102,2012-08-31,ANIAK AK,UNITED STATES,Non-Fatal,Substantial,Airplane,N3615M,PIPER,PA-12,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's excessive use of brakes during the landing roll, which resulted in a nose over.",25-09-2020,2012-08-31,Minor,1,2,AK
72607,20120907X13241,Incident,ERA12IA550,2012-08-31,NANTUCKET MA,UNITED STATES,Non-Fatal,Minor,Airplane,N769EA,CESSNA,402C,No,2.0,Reciprocating,135,SCHD,,0.0,0.0,0.0,10.0,VMC,,"Company maintenance personnels failure to comply with the airplane manufacturers service instructions by not removing the cracked drag brace from service nor inspecting the repaired drag brace at the appropriate interval, which resulted in the failure of the nose landing gear drag brace due to fatigue cracking and collapse of the nose landing gear during the landing roll. Contributing to the failure of the nose landing gear drag brace was the failure of the repair station to detect a remaining portion of a crack following repair.",25-09-2020,2012-08-31,Minor,1,1,MA
72608,20120920X30613,Accident,ANC12CA109,2012-08-31,HEALY AK,UNITED STATES,Non-Fatal,Substantial,Airplane,N1620A,PIPER,PA-18,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's selection of unsuitable terrain for takeoff, resulting in an aborted takeoff and collision with terrain.",25-09-2020,2012-08-31,Minor,1,2,AK
72616,20120904X71601,Accident,ERA12LA545,2012-09-01,EAST BEND NC,UNITED STATES,Non-Fatal,Substantial,Airplane,N377SP,CESSNA,172E,No,1.0,Reciprocating,091,,Personal,0.0,2.0,0.0,0.0,VMC,,A total loss of engine power during the initial climb after takeoff for reasons that could not be determined because examination of the engine did not reveal any anomalies that would have precluded normal operation.,25-09-2020,2012-09-01,Serious,2,2,NC
72619,20120907X24431,Accident,CEN12CA614,2012-09-01,LANCASTER TX,UNITED STATES,Non-Fatal,Substantial,Airplane,N4431F,CESSNA,L-19E,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to maintain directional control during the landing roll, which resulted in a ground loop.",25-09-2020,2012-09-01,Minor,1,2,TX
72620,20120920X05526,Accident,ERA12CA569,2012-09-01,FARMINGDALE NY,UNITED STATES,Non-Fatal,Substantial,Airplane,N2409E,CESSNA,172S,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,1.0,VMC,,"The student pilot's improper landing flare, which resulted in a hard landing.",25-09-2020,2012-09-01,Minor,1,2,NY
72624,20120903X93301,Accident,WPR12CA389,2012-09-02,METALINE FALLS WA,UNITED STATES,Non-Fatal,Substantial,Airplane,N42014,CESSNA,182L,No,1.0,Reciprocating,091,,Personal,0.0,2.0,0.0,0.0,VMC,,"The pilots inadequate compensation for a sudden wind shift during the landing roll, which resulted in a runway overrun.",25-09-2020,2012-09-02,Serious,2,2,WA
72625,20120904X11012,Accident,ANC12LA097,2012-09-02,COLDFOOT AK,UNITED STATES,Non-Fatal,Substantial,Airplane,N82016,PIPER,PA-18-150,No,1.0,Reciprocating,091,,Personal,0.0,0.0,1.0,0.0,VMC,,The pilot's failure to maintain clearance from terrain while maneuvering to reverse course.,25-09-2020,2012-09-02,Minor,1,2,AK
72626,20120904X70212,Accident,ANC12CA099,2012-09-02,KENAI AK,UNITED STATES,Non-Fatal,Substantial,Airplane,N67178,CESSNA,180,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's selection of unsuitable terrain for landing, which resulted in a nose over.",25-09-2020,2012-09-02,Minor,1,2,AK
72627,20120904X70501,Accident,CEN12TA604,2012-09-02,NEWBERRY MI,UNITED STATES,Non-Fatal,Substantial,Airplane,N5981J,CESSNA,182P,No,1.0,Reciprocating,PUBU,,Aerial Observation,0.0,0.0,1.0,0.0,VMC,,The pilots failure to maintain control of the airplane due to distraction from a combination of smoke in the cockpit and a sudden turbulence encounter while on short final approach. The cause of the cockpit smoke could not be determined due to the extensive damage sustained by the airplane during the postimpact fire.,25-09-2020,2012-09-02,Minor,1,2,MI
72628,20120903X22010,Accident,ERA12LA543,2012-09-03,TILLATOBA MS,UNITED STATES,Non-Fatal,Substantial,Airplane,N761YN,CESSNA,T210M,No,1.0,Reciprocating,091,,Personal,0.0,0.0,1.0,0.0,VMC,,"The pilot's improper fuel management and his decision to continue flight in deteriorating weather conditions with low fuel, which resulted in a total loss of engine power due to fuel exhaustion.",25-09-2020,2012-09-03,Minor,1,2,MS
72630,20120903X94646,Accident,WPR12LA391,2012-09-03,TOLEDO OR,UNITED STATES,Non-Fatal,Substantial,Airplane,N3700V,CESSNA,150M,No,1.0,Reciprocating,091,,Personal,0.0,0.0,1.0,0.0,VMC,,The pilots failure to maintain directional control of the airplane after landing.,25-09-2020,2012-09-03,Minor,1,2,OR
72636,20120913X93442,Accident,ERA12CA560,2012-09-03,SEBRING FL,UNITED STATES,Non-Fatal,Substantial,Airplane,N9965P,CESSNA,172S,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,1.0,VMC,,"The student pilot's improper flare, which resulted in a hard landing.",25-09-2020,2012-09-03,Minor,1,2,FL
72638,20120903X33429,Accident,WPR12CA393,2012-09-04,SPANOWAY WA,UNITED STATES,Non-Fatal,Substantial,Airplane,N4QC,BEECH,95-55,No,2.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,The pilots failure to lower the landing gear prior to landing.,25-09-2020,2012-09-04,Minor,1,2,WA
72639,20120906X42322,Accident,WPR12CA400,2012-09-04,LANCASTER CA,UNITED STATES,Non-Fatal,Substantial,Airplane,N308DF,PIPER,PA-32-300,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,1.0,VMC,,The student pilots inadvertent selection of an empty fuel tank.,25-09-2020,2012-09-04,Minor,1,2,CA
72640,20120906X91956,Accident,WPR12CA401,2012-09-04,LEWISTON ID,UNITED STATES,Non-Fatal,Substantial,Airplane,N4798Z,PIPER,PA-22-108,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilots inadequate postmaintenance and preflight inspections, which resulted in the separation of the left main wheel after takeoff. Contributing to the accident was the improperly secured left main wheel spindle nut.",25-09-2020,2012-09-04,Minor,1,2,ID
72643,20120905X11820,Accident,ANC12CA101,2012-09-05,EKWOK AK,UNITED STATES,Non-Fatal,Substantial,Airplane,N4127Z,PIPER,PA-18-150,No,1.0,Reciprocating,091,,Personal,0.0,1.0,0.0,0.0,VMC,,"The pilot's diverted attention during the initial climb, which resulted in a collision with trees.",25-09-2020,2012-09-05,Serious,2,2,AK
72644,20120905X22200,Accident,CEN12FA606,2012-09-05,FORT WORTH TX,UNITED STATES,Non-Fatal,Substantial,Airplane,N69924,CESSNA,421B,No,2.0,Reciprocating,091,,Business,0.0,0.0,2.0,0.0,VMC,,"The pilot's failure to maintain airplane control on takeoff, which resulted in an inadvertent stall. Contributing to the accident were the unlatched nose cargo door, the pilots diverted attention, and the pilot's mental ability to handle the emergency situation.",25-09-2020,2012-09-05,Minor,1,2,TX
72649,20120906X82923,Accident,CEN12LA609,2012-09-05,HAMILTON TX,UNITED STATES,Non-Fatal,Substantial,Airplane,N8260T,CESSNA,175B,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,1.0,VMC,,The partial loss of engine power due to an exhaust valve that was stuck in the open position.,25-09-2020,2012-09-05,Minor,1,2,TX
72655,20120906X93725,Accident,ERA12LA549,2012-09-06,MANVILLE NJ,UNITED STATES,Non-Fatal,Substantial,Airplane,N6716L,BEECH,76,No,2.0,Reciprocating,091,,Personal,0.0,0.0,2.0,0.0,VMC,,The pilots failure to maintain directional control during the landing and attempted go-around.,25-09-2020,2012-09-06,Minor,1,2,NJ
72656,20120907X03444,Accident,CEN12CA612,2012-09-06,DECATUR TX,UNITED STATES,Non-Fatal,Substantial,Airplane,N563AP,BEECH,G36,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,3.0,VMC,,"The pilot's delay in executing the aborted landing, which resulted in a runway excursion.",25-09-2020,2012-09-06,Minor,1,2,TX
72658,20120911X23457,Accident,CEN12LA622,2012-09-06,JASPER MO,UNITED STATES,Non-Fatal,Substantial,Airplane,N7655Z,PIPER,PA-25-235,No,1.0,Reciprocating,137,,Aerial Application,0.0,0.0,0.0,1.0,VMC,,The total loss of engine power due to separation of a carburetor air box support bracket and subsequent airflow obstruction to the carburetor.,25-09-2020,2012-09-06,Minor,1,2,MO
72663,20120910X34719,Accident,ERA12CA553,2012-09-07,MARION SC,UNITED STATES,Non-Fatal,Substantial,Airplane,N635CP,CESSNA,182T,No,1.0,Reciprocating,091,,Other Work Use,0.0,0.0,0.0,2.0,VMC,,"The pilot's improper landing flare, which resulted in a hard landing.",25-09-2020,2012-09-07,Minor,1,2,SC
72667,20120908X23751,Accident,CEN12FA616,2012-09-08,KINGSLAND TX,UNITED STATES,Fatal,Substantial,Airplane,N70108,PIPER,J3C-65,No,1.0,Reciprocating,091,,Personal,1.0,0.0,0.0,0.0,VMC,,The pilots failure to maintain adequate airspeed following a partial loss of engine power resulting from an  engine intake valve that became stuck open. Contributing to the accident was the pilots decision to operate the airplane when a required maintenance inspection was overdue. Contributing to the severity of the pilots injuries was his decision to operate the airplane without using the installed shoulder harness restraints.,,2012-09-08,Fatal,3,2,TX
72671,20120910X21348,Accident,CEN12CA618,2012-09-08,DECATUR TX,UNITED STATES,Non-Fatal,Substantial,Airplane,N149G,BEECH,V35,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's inattention during the landing roll, which resulted in retraction of the landing gear instead of the flaps.",25-09-2020,2012-09-08,Minor,1,2,TX
72674,20120911X15339,Accident,WPR12CA415,2012-09-08,ELKO NV,UNITED STATES,Non-Fatal,Substantial,Airplane,N1129T,BEECH,V35B,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,4.0,VMC,,The pilot's failure to extend the landing gear during the aborted takeoff. Contributing to the accident was the pilot's failure to perform a thorough preflight inspection.,25-09-2020,2012-09-08,Minor,1,2,NV
72675,20120911X84218,Accident,ANC12LA103,2012-09-08,HOMER AK,UNITED STATES,Non-Fatal,Substantial,Airplane,N3214D,PIPER,PA-18-150,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,1.0,VMC,,The total loss of engine power for reasons that could not be determined because the engine could not be examined because of the extent of time in salt water.,25-09-2020,2012-09-08,Minor,1,2,AK
72678,20120909X05222,Accident,CEN12FA617,2012-09-09,KANSASVILLE WI,UNITED STATES,Fatal,Substantial,Airplane,N3224G,BEECH,A36,No,1.0,Reciprocating,091,,Personal,1.0,0.0,0.0,0.0,VMC,,In-flight loss of control for reasons that could not be determined because postaccident examination of the pilot and testing of the airplane did not reveal any anomalies that would have led to the loss of control.,25-09-2020,2012-09-09,Fatal,3,2,WI
72681,20120910X72418,Accident,WPR12LA411,2012-09-09,CAMBRIA CA,UNITED STATES,Non-Fatal,Substantial,Airplane,N80SS,CESSNA,A185F,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,A partial loss of engine power during cruise flight for reasons that could not be determined because the airplane sank in the ocean and was not recovered. ,,2012-09-09,Minor,1,2,CA
72683,20120910X80127,Accident,CEN12CA620,2012-09-09,PHILLIPSBURG OH,UNITED STATES,Non-Fatal,Substantial,Airplane,N2484L,CESSNA,172H,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,3.0,VMC,,"The pilots improper flare, which resulted in a hard landing.",25-09-2020,2012-09-09,Minor,1,2,OH
72684,20120911X01505,Accident,ERA12LA557,2012-09-09,WASHINGTON PA,UNITED STATES,Non-Fatal,Substantial,Airplane,N3591P,PIPER,PA-31-325,No,2.0,Reciprocating,135,NSCH,,0.0,0.0,0.0,4.0,VMC,,"The airplanes encounter with a flock of geese during takeoff, which resulted in the airplanes hard impact with the runway while the pilot maneuvered in an attempt to avoid the geese.",25-09-2020,2012-09-09,Minor,1,2,PA
72685,20120912X50304,Accident,CEN12CA625,2012-09-09,GEARY OK,UNITED STATES,Non-Fatal,Substantial,Airplane,N3014V,BEECH,35,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,2.0,VMC,,The student pilot failed to maintain control of the airplane during a forced landing attempt which resulted in an aerodynamic stall.  Contributing to the accident was the instructor pilot's delay in taking control of the airplane and the loss of engine power for undetermined reasons.,25-09-2020,2012-09-09,Minor,1,2,OK
72686,20120912X92452,Accident,CEN12LA623,2012-09-09,GILMER TX,UNITED STATES,Non-Fatal,Substantial,Airplane,N2878V,PIPER,PA-28RT-201,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,1.0,VMC,,The partial loss of engine power due to the loss of cylinder compression. The loss of cylinder compression was the result of the No. 3 piston ring failure due to excessive heat because of the lean fuel mixture from a partially clogged fuel nozzle.,25-09-2020,2012-09-09,Minor,1,2,TX
72694,20120911X40823,Incident,ERA12IA559,2012-09-10,OPA-LOCKA FL,UNITED STATES,Non-Fatal,Minor,Airplane,N218LG,CESSNA,402B,No,2.0,Reciprocating,091,,Personal,0.0,0.0,0.0,3.0,VMC,,"The pilots turning the airplane too sharply while exiting the runway, which resulted in the failure of the right main landing gear bellcrank due to an overstress fracture.",25-09-2020,2012-09-10,Minor,1,1,FL
72695,20120918X15706,Accident,CEN12CA641,2012-09-10,FT. MORGAN CO,UNITED STATES,Non-Fatal,Substantial,Airplane,N4589M,PIPER,PA-11,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's loss of control during landing after encountering an unexpected wind gust.,25-09-2020,2012-09-10,Minor,1,2,CO
72696,20120921X44759,Accident,CEN12LA651,2012-09-10,BOONVILLE IN,UNITED STATES,Non-Fatal,Substantial,Airplane,N5538F,PIPER,PA-28-140,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,1.0,VMC,,A total loss of engine power during initial climb due to fuel starvation for reasons that could not be determined because postaccident examination could not verify whether the fuel selector was properly positioned before takeoff.,,2012-09-10,Minor,1,2,IN
72698,20120912X23226,Accident,CEN12CA624,2012-09-11,SALINA KS,UNITED STATES,Non-Fatal,Substantial,Airplane,N824KS,CESSNA,172R,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,2.0,VMC,,"The flight instructor's improper flare in gusty wind conditions, which resulted in a hard landing.",25-09-2020,2012-09-11,Minor,1,2,KS
72702,20120920X20522,Accident,CEN12CA644,2012-09-11,KENEDY TX,UNITED STATES,Non-Fatal,Substantial,Airplane,N5534G,CESSNA,421C,No,2.0,Reciprocating,091,,Personal,0.0,0.0,0.0,4.0,VMC,,"The pilots improper flare, which resulted in a hard landing and subsequent collapse of the landing gear.",25-09-2020,2012-09-11,Minor,1,2,TX
72703,20120912X92859,Accident,CEN12FA628,2012-09-12,BULLARD TX,UNITED STATES,Fatal,Substantial,Airplane,N4842P,PIPER,PA-23-250,No,2.0,Reciprocating,091,,Personal,1.0,0.0,0.0,0.0,VMC,,"The pilot's maneuver, which exceeded the airplane's structural limit and resulted in an in-flight breakup.",25-09-2020,2012-09-12,Fatal,3,2,TX
72709,20120915X03904,Accident,WPR12FA420,2012-09-13,STRAWBERRY AZ,UNITED STATES,Fatal,Substantial,Airplane,N4188E,PIPER,PA-28-181,No,1.0,Reciprocating,091,,Instructional,3.0,0.0,0.0,0.0,VMC,,"The flight instructor's and the evaluator's failure to divert at an appropriate time during cruise flight, which resulted in the airplane's inability to maintain a sufficient altitude to clear rising terrain. Contributing to the accident was the flight evaluator's decision to allow the student pilot to plan for and execute a hazardous flight at an inappropriate altitude considering the terrain in high-density altitude conditions.",25-09-2020,2012-09-13,Fatal,3,2,AZ
72711,20120918X23113,Accident,ANC12LA106,2012-09-13,DENALI PARK AK,UNITED STATES,Non-Fatal,Substantial,Airplane,N4786Q,CESSNA,A185F,No,1.0,Reciprocating,091,,Other Work Use,0.0,0.0,0.0,1.0,VMC,,The pilots failure to maintain clearance from an electric transmission line during the approach to land because he was distracted by the airplanes broken and deflected landing ski. Contributing to the accident was the in-flight failure of the right ski connecting bolt and the subsequent ski deflection.,25-09-2020,2012-09-13,Minor,1,2,AK
72713,20120914X33512,Accident,WPR12LA418,2012-09-14,NAMPA ID,UNITED STATES,Non-Fatal,Substantial,Airplane,N90RW,CESSNA,180,No,1.0,Reciprocating,091,,Instructional,0.0,1.0,1.0,0.0,VMC,,An uncommanded bank after takeoff followed by an aerodynamic stall. The reason for the uncommanded bank could not be determined because postaccident examination did not reveal any anomalies that would have precluded normal operation.,25-09-2020,2012-09-14,Serious,2,2,ID
72714,20120914X53348,Accident,ANC12CA105,2012-09-14,BETHEL AK,UNITED STATES,Non-Fatal,Substantial,Airplane,N543AR,CESSNA,170B,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's failure to maintain directional control during takeoff, which resulted in a ground loop.",25-09-2020,2012-09-14,Minor,1,2,AK
72715,20120914X82649,Accident,WPR12CA419,2012-09-14,FRENCH VALLEY CA,UNITED STATES,Non-Fatal,Substantial,Airplane,N7971W,PIPER,PA-28-180,No,1.0,Reciprocating,091,,Personal,0.0,1.0,0.0,1.0,VMC,,The pilots loss of directional control during a go-around following a sudden change in wind direction.,25-09-2020,2012-09-14,Serious,2,2,CA
72719,20120915X10854,Accident,CEN12LA635,2012-09-15,MECOSTA MI,UNITED STATES,Non-Fatal,Substantial,Airplane,N58844,CESSNA,182P,No,1.0,Reciprocating,091,,Personal,0.0,1.0,0.0,1.0,VMC,,"The pilot's improper landing flare, which resulted in a bounced landing and loss of airplane control.",25-09-2020,2012-09-15,Serious,2,2,MI
72723,20120918X43738,Accident,ANC12CA108,2012-09-15,ATQASUK AK,UNITED STATES,Non-Fatal,Substantial,Airplane,N84549,CESSNA,172K,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,1.0,VMC,,The student pilot's failure to maintain directional control while performing a high-speed taxi in windy conditions.,25-09-2020,2012-09-15,Minor,1,2,AK
72724,20120919X65321,Accident,WPR12CA424,2012-09-15,ANDREWS OR,UNITED STATES,Non-Fatal,Substantial,Airplane,N1164Q,CESSNA,A185F,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,4.0,VMC,,The pilot's failure to maintain directional control during a crosswind landing.,25-09-2020,2012-09-15,Minor,1,2,OR
72729,20120919X85026,Accident,WPR12CA425,2012-09-16,ELOY AZ,UNITED STATES,Non-Fatal,Substantial,Airplane,N8293E,CESSNA,172N,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's improper flare, and his inadequate recovery from a bounced landing.",25-09-2020,2012-09-16,Minor,1,2,AZ
72734,20120918X24440,Accident,ANC12LA107,2012-09-17,TALKEETNA AK,UNITED STATES,Non-Fatal,Substantial,Airplane,N8433D,PIPER,PA-22-160,No,1.0,Reciprocating,091,,Instructional,0.0,1.0,1.0,0.0,VMC,,"The flight instructor's failure to maintain adequate airspeed while maneuvering at a low altitude, which resulted in an inadvertent stall.",25-09-2020,2012-09-17,Serious,2,2,AK
72737,20120920X50915,Accident,WPR12LA430,2012-09-17,SNOHOMISH WA,UNITED STATES,Non-Fatal,Substantial,Airplane,N8130F,CESSNA,150F,No,1.0,Reciprocating,091,,Personal,0.0,1.0,0.0,0.0,VMC,,"The failure of the right wheel brake hydraulic line during the landing roll, which rendered the brake system inoperative.",25-09-2020,2012-09-17,Serious,2,2,WA
72738,20120920X51830,Accident,WPR12CA429,2012-09-17,EMMETT ID,UNITED STATES,Non-Fatal,Substantial,Airplane,N5196H,PIPER,PA-14,No,1.0,Reciprocating,091,,Personal,0.0,1.0,0.0,2.0,VMC,,The pilots failure to maintain clearance from terrain.,25-09-2020,2012-09-17,Serious,2,2,ID
72739,20120918X34514,Accident,ERA12FA567,2012-09-18,MACON GA,UNITED STATES,Non-Fatal,Substantial,Airplane,N428JD,BEECH,400,No,2.0,Turbo Fan,091,,Executive/corporate,0.0,2.0,0.0,1.0,VMC,,"The pilots failure to maintain proper airspeed, which resulted in the airplane touching down too fast on the wet runway with inadequate runway remaining to stop and a subsequent runway overrun. Contributing to the landing overrun were the flight crewmembers failure to correctly use the appropriate performance chart to calculate the runway required to stop on a contaminated runway and their general lack of proper crew resource management. ",25-09-2020,2012-09-18,Serious,2,2,GA
72741,20120921X62052,Accident,CEN12FA653,2012-09-18,KIOWA CO,UNITED STATES,Non-Fatal,Substantial,Airplane,N188SR,PIPER,PA-46-350P,No,1.0,Reciprocating,091,,Ferry,0.0,0.0,0.0,1.0,VMC,,"A catastrophic engine failure due to unrecognized and unrepaired corrosion within the engine, which was consistent with engine operations after an extended period of inactivity.",25-09-2020,2012-09-18,Minor,1,2,CO
72744,20120920X21242,Accident,WPR12CA427,2012-09-19,LINCOLN CA,UNITED STATES,Non-Fatal,Substantial,Airplane,N4777V,BOEING,A75N1(PT17),No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's failure to maintain directional control during the landing roll, which resulted in a ground loop.",25-09-2020,2012-09-19,Minor,1,2,CA
